title,price,area,location,description,Diện tích đất:,Giá/m2:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tên phân khu/Lô/Block/Tháp:,Mã căn / Mã căn hộ:,Tầng số:,Hướng ban công:,Mã lô:,Đặc điểm căn hộ:,Loại hình văn phòng:,location_clean,street,ward,district,city,ten_phan_khu_final,planA_log
Bán lô đất đường Lỗ Giáng 8 - Hoà Xuân giá đầu,2380000000,100.0,"Đường Lỗ Giáng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng","Còn lô giá rẻ nhất khu vực: Nam Cẩm Lệ
✔️ Đường Lỗ Giáng 8 - Hoà Xuân 
✔Vị trí song song với đường Mẹ Thứ 
✔Diện tích 100m2 
✔Hướng Nam
✔ Giá 2.38 tỷ 
Anh chị quan tâm liên hệ E để xem đất và làm việc chính chủ",100.0,23800000,Nam,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,20.0,,,,,,,,,,,,,other,,other,other,"đường lỗ giáng 8, phường hòa xuân, quận cẩm lệ, đà nẵng",đường lỗ giáng 8,phường hòa xuân,quận cẩm lệ,đà nẵng,Không thuộc project/block,
"Đất ngay tthc bầu bàng, giá chỉ 2tr 1m2",1000000000,500.0,"Đường Quốc Lộ 13, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương","Vài lô liền kề nằm ngay kcn , tthc bầu bàng 
Diện tích rộng nên có thể đầu tư xây trọ cách các khu công nghiệp chỉ 100m
Diện tích 5,5 x100
Giá chỉ 2tr 1m2, đường 4m
Đã có sổ riêng từng nền, bao công chứng trong ngày
Các nhà trọ gần khu công nghiệp đã quá tải nền việc đầu tư xây trọ hiện tại là 1 thời điểm quá hợp lí
Có thêm nhiều phần quà và giá hấp dẫn
Có xe đưa rướt miễn phí vào ngày chủ nhật",500.0,2000000,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,5.0,100.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,89.0,,,,,,,,other,,other,other,"đường quốc lộ 13, thị trấn lai uyên, huyện bàu bàng, bình dương",đường quốc lộ 13,thị trấn lai uyên,huyện bàu bàng,bình dương,Không thuộc project/block,
Đất TC 6x25m mặt tiền đường nhựa thôn 2 Suối Rao,440000000,150.0,"Thôn 2, Xã Suối Rao, Huyện Châu Đức, Bà Rịa - Vũng Tàu","bán lô đất đẹp mặt tiền đường nhựa thôn 2, Suối Rao, Châu Đức
hình chụp thực tế bên trên
sổ đỏ thực tế bên trên, có số tờ số thửa đi xem đất các bạn đối chiếu giùm nhé.
6x25m có 100m2 đất ở
sổ riêng có sẵn luôn
giá 440 triệu cả lô đất luôn
7 lô mình đã bán 5 lô chỉ còn 2 lô liền kề, lấy hết thì có giá rẻ hơn nữa
cam kết hình thực, giá thực không đăng ba xạo.
mình chính chủ bán",150.0,2930000,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6.0,25.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,,,,,,,,other,,other,other,"thôn 2, xã suối rao, huyện châu đức, bà rịa - vũng tàu",thôn 2,xã suối rao,huyện châu đức,bà rịa - vũng tàu,Không thuộc project/block,
600m2 đất thổ cư SHR cách đường Lý Thái Tổ Bảo Lộc,1560000000,600.0,"Đường Lý Thái Tổ, Xã Đạm Bri, Thành phố Bảo Lộc, Lâm Đồng","DT: 12 x 50m đất thổ cư ( sổ hồng )
Thế đất bằng view cao thoáng,không khí trong lành,ngắm nhìn đồi núi vườn trà cà phê xanh ngát, thich hợp cho những ai có ý định muốn xây 1 căn nhà vườn nghỉ ngơi sau những ngày làm việc mệt mỏi , tạm xa cuộc sống tấp nập ồn ào nơi đô thị!
1 bước chân tới ngàn tiện ich : gần Lâu Đài Trắng, Đồi Hướng Dương, thác Đambri, chợ khu 6, trường học... 
Khu dân cư hiện hữu, an ninh, hệ thống hạ tầng đầy đủ, đường nhựa rộng oto ra vào thoải mái ! 
Gía bán mong muốn : 1 tỷ 560tr
Đ/c : hẻm Lý Thái Tổ, xã Đambri , tp Bảo Lộc tỉnh Lâm Đồng.
Cô chú anh chị quan tâm gọi cho em nhé !",600.0,2600000,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,12.0,50.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,,,,,,,,other,,other,other,"đường lý thái tổ, xã đạm bri, thành phố bảo lộc, lâm đồng",đường lý thái tổ,xã đạm bri,thành phố bảo lộc,lâm đồng,Không thuộc project/block,
"Kẹt vốn bán căn 2PN view hồ bơi tầng 10 giá 2,530T",2500000000,67.0,"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","Chính chủ cần bán nhanh căn 2PN 67m2 view hồ bơi tầng 10 giá 2,530 tỷ.
Mua bán nhanh có bớt
Dự án chuẩn bị giao nhà vào đầu năm sau.
Bàn giao full nội thất cơ bản và bếp thương hiệu Malloca. Call để trao đổi thêm",600.0,37310000,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,12.0,50.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Đã bàn giao,67.0,Chung cư,,,,,other,,other,other,"đường số 1, phường trường thọ, quận thủ đức, tp hồ chí minh",đường số 1,phường trường thọ,quận thủ đức,tp hồ chí minh,Không thuộc project/block,
Bán đất mặt tiền 1 sẹt Quốc Lộ 20,890000000,250.0,"Đường Quốc Lộ 20, Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng","Hiện tại gia đình mình đang cần gấp nguồn vốn xoay lấy nguồn hàng tết nên muốn bán lại miếng đất tại Thành Phố Bảo Lộc
Diện tích 250m2(10x25) có 160m2 thổ cư,sổ hồng riêng
Vị trí 1 sẹt quốc lộ 20 cách 2km,mặt tiền đường 8m.Gần chợ,trường học,Uỷ Ban.cách trung tâm TP.Bảo lộc 5-7phút đi xe máy.Cách mấy khu du lịch tầm 10-12phút.
Giá có thể thương lượng cho những ai đang cần",250.0,3560000,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,10.0,25.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Đã bàn giao,67.0,Chung cư,,,,,other,,other,other,"đường quốc lộ 20, thị trấn lộc thắng, huyện bảo lâm, lâm đồng",đường quốc lộ 20,thị trấn lộc thắng,huyện bảo lâm,lâm đồng,Không thuộc project/block,
Chính chủ cần bán đất xã Liên Khê,560000000,261.0,"Đường 359, Xã Tân Dương, Huyện Thuỷ Nguyên, Hải Phòng","Chính chủ cần bán đất sổ đỏ chính chủ
Vị trí cách chợ 400m UBND 300m
Cách mặt đường 20 mét ngõ 4m ô tô vào",261.0,2150000,Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,15.0,18.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Đã bàn giao,67.0,Chung cư,,,,,other,,other,other,"đường 359, xã tân dương, huyện thuỷ nguyên, hải phòng",đường 359,xã tân dương,huyện thuỷ nguyên,hải phòng,Không thuộc project/block,
Nhà trệt 4 lầu sân thượng (4x20)p12.q5.25tỷ TL,25000000000,80.0,"Đường Phó Cơ Điều, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mới , đẹp , nằm ngai trung tâm quận 5 , cung đường sầm uất , thuận tiện kinh doanh như spa , văn phòng , căn hộ dịch vụ , KS...
Gần chợ , trường học , bệnh viện , trung tâm thương mại 
Đang có hộp đồng thuê 80tr/tháng",80.0,312500000,Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,20.0,6.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,72.0,Đã bàn giao,67.0,Chung cư,,,,,other,,other,other,"đường phó cơ điều, phường 12, quận 5, tp hồ chí minh",đường phó cơ điều,phường 12,quận 5,tp hồ chí minh,Không thuộc project/block,
"Bán Nhà 1 Trệt 2 Lầu, HXH, P.HBP, 54m2, Giá 4.98Tỷ",4980000000,54.0,"Đường số 8, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","Chính Chủ Bán Gấp Nhà 1 trệt 2 lầu, Hẻm Ô Tô, Hiệp Bình Phước, Thủ Đức, Giá Chỉ 4.98 Tỷ

Kẹt tiền cần bán gấp nhà 1 trệt 2 lầu, kiên cố đẹp, đường ô tô đậu trước nhà, đường số 8, phường Hiệp Bình Phước, quận Thủ Đức, diện tích 54m2, giá chỉ 4,98 tỷ.

Nhà gần chợ Hiệp Bình, siêu thị, di chuyển 5 phút ra Gigamall Phạm Văn Đồng, Khu đô thị Vạn Phúc,15 phút vào sân bay Quận 1. Bán kính 2km là trường học các cấp.

-Thông tin mô tả:

+ Diện tích 54m2: ngang 4.5m, dài 12m.

+ Kết cấu: 3 tầng BTCT, đẹp, kiên cố, 4 phòng ngủ, 5 WC, tủ âm tường, tặng nội thất gỗ xịn xò.
+ Đường hơn 8m, có vỉa hè, cây xanh, khu dân cư phân lô, dân trí, đường thông thoáng, sạch sẽ, thông tứ tung, ngay trong KDC Hồng Long.
+ Khu vực yên tĩnh, toàn nhà cao tầng, dân trí cao, an ninh, 20m ra công viên với đầy đủ tiện ích.
+ Bán kính 500m có đầy đủ trường từ mầm non đến cấp 3, Siêu thị, chợ ...
+ Các nhà bên cạnh ngang nhỏ hơn nhưng đang chào giá 5.3 tỷ, chủ muốn bán nhanh lấy tiền công chứng nhà mới nên chào giá rẻ khu vực.

- Pháp Lý:
Sổ hồng vuông vức như tờ A4, hoàn công đầy đủ, công chứng trong ngày.

Liên hệ ngay để mua chính chủ",54.0,92220000,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.5,12.0,4.0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,162.0,Đã bàn giao,67.0,Chung cư,,,,,other,,other,other,"đường số 8, phường hiệp bình phước, quận thủ đức, tp hồ chí minh",đường số 8,phường hiệp bình phước,quận thủ đức,tp hồ chí minh,Không thuộc project/block,
Bán Lô Đất 3300M2 1Tr4/M2Lý Thường Kiệt Tp Bảo Lộc,1400000000,3300.0,"Đường Lý Thường Kiệt, Phường Lộc Phát, Thành phố Bảo Lộc, Lâm Đồng","- Bán Lô Đất 3300M2 MT Hẻm Cách Đường Lớn Lý Thường Kiệt 200M Sổ Vuông góc view rất đẹp 
- Đất Thuộc Phường Lộc Phát Tp Bảo Lộc 
Đường Trước Đất Là Đường 5,2M Xe ÔTÔ Đi Vô Tư 
- Đối Diện Khu Dự Án Phân Lô , Đất Triền nhẹ Nhìn View Đất Rất Đẹp Có 300M Mặt Tiền 
Vị Trí : Phường Lộc Phát - Tp Bảo Lộc - T Lâm Đồng 
- Giá Chỉ 1Tr4/M2 
DT: Trên Sổ 4000M2 Đất Thật Tế 3300M2 
Pháp Lý Sổ Sách Đầy Đủ 
A/C QT LH SĐT",3300.0,424242,Bắc,Đã có sổ,Mặt tiền,Đất nông nghiệp,4.5,12.0,4.0,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,162.0,Đã bàn giao,67.0,Chung cư,,,,,other,,other,other,"đường lý thường kiệt, phường lộc phát, thành phố bảo lộc, lâm đồng",đường lý thường kiệt,phường lộc phát,thành phố bảo lộc,lâm đồng,Không thuộc project/block,inconsistent_area
