title,area,Diện tích đất:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tầng số:,Hướng ban công:,Đặc điểm căn hộ:,Loại hình văn phòng:,street,ward,district,city,Phân khu/Lô/Block/Tháp,has_floor_number,Price (trieu VND)
Tôi bán nhà xây mới 100% 4 lầu tặng nội thất 1%MG,36.3,36.3,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,4.7,7.5,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường lê quang định,phường 11,quận bình thạnh,tp hồ chí minh,Không thuộc project/block,0,5500.0
BÁN NỀN KHU DÂN CƯ MINH THẮNG,115.0,115.0,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6.0,19.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,khu dân cư minh thắng - cà mau,phường 9,thành phố cà mau,cà mau,Không thuộc project/block,0,1570.0
Đất nền giá đầu tư becamex,250.0,250.0,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,10.0,25.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,ql13,thị trấn lai uyên,huyện bàu bàng,bình dương,Không thuộc project/block,0,580.0
Cần bán 3 xào trồng tiêu đang thu hoạch,3031.0,3031.0,Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,51.0,55.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường 765,xã sông ray,huyện cẩm mỹ,đồng nai,Không thuộc project/block,0,1000.0
"Bán đất 440m2 (6 x 72) mặt tiền Tỉnh lộ 934, ST",440.0,440.0,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,6.0,72.0,3.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,140.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường tỉnh lộ 934,xã viên bình,huyện trần đề,sóc trăng,Không thuộc project/block,0,580.0
"Nhà Chính Chủ, Tô Ký ,Q12.Bao sang tên công chứng.",45.0,45.0,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,9.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,45.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,đường tô ký,phường đông hưng thuận,quận 12,tp hồ chí minh,Không thuộc project/block,0,720.0
"BÁN ĐẤT SƠN ĐÔNG, 100% THỔ CƯ, GẦN BÙNG BINH MŨ",198.0,198.0,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,8.0,9.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,45.0,Đã bàn giao,67.0,Chung cư,4.0,-1.0,Unknown,Unknown,Unknown,quốc lộ 60,xã sơn đông,thành phố bến tre,bến tre,Không thuộc project/block,0,1300.0
🔰BÁN GẤP NHÀ 2 LẦU XÂY MỚI 100% - Đ.PHAN HUY CHÚ,70.0,70.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,14.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,210.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường phan huy chú,phường an khánh,quận ninh kiều,cần thơ,Không thuộc project/block,0,4600.0
"Nhà hẻm 171 Lý Thái Tổ ,Tân Lợi.BMT",215.0,215.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,9.0,28.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,215.0,Đã bàn giao,67.0,Chung cư,2.0,-1.0,Unknown,Unknown,Unknown,đường lý thái tổ,phường tân lợi,thành phố buôn ma thuột,đắk lắk,Không thuộc project/block,0,5700.0
Siêu phẩm nhà Vĩnh Quỳnh 40m2 Ôtô vào nhà 2.3 tỷ,40.0,40.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,9.0,28.0,4.0,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,40.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,vĩnh quỳnh,xã ngọc hồi,huyện thanh trì,hà nội,Không thuộc project/block,0,2300.0
"Bán nhà mặt tiền chợ Hoàng Hoa Thám, p13, qTB",74.4,74.4,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,18.6,6.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,198.0,Đã bàn giao,67.0,Chung cư,5.0,-1.0,Unknown,Unknown,Unknown,đường hoàng hoa thám,phường 13,quận tân bình,tp hồ chí minh,Không thuộc project/block,0,24000.0
