Diện tích đất:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tầng số:,Hướng ban công:,Đặc điểm căn hộ:,Loại hình văn phòng:,district,city,Phân khu/Lô/Block/Tháp,has_floor_number,Price (trieu VND),log_price
170.0,Tây Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,13.0,13.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,40.0,Đã bàn giao,103.0,Chung cư,1.0,26.0,Đông Bắc,Căn góc,Shophouse,thành phố tân an,long an,Không thuộc project/block,1,419.0,6.040254711277414
64.2,Tây Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,16.05,2.0,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,40.0,Đã bàn giao,103.0,Chung cư,1.0,26.0,Đông Bắc,Căn góc,Shophouse,quận 9,tp hồ chí minh,Không thuộc project/block,1,936.0,6.842683282238422
108.0,Tây,Đã có sổ,Nở hậu,Đất thổ cư,5.0,20.0,6.0,6.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,226.0,Đã bàn giao,103.0,Chung cư,2.0,26.0,Đông Bắc,Căn góc,Shophouse,quận 7,tp hồ chí minh,Không thuộc project/block,1,9500.0,9.15915233520675
42.0,Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.0,11.0,5.0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,226.0,Đã bàn giao,103.0,Chung cư,2.0,26.0,Đông Bắc,Căn góc,Shophouse,quận 11,tp hồ chí minh,Không thuộc project/block,1,6500.0,8.77971129020447
93.0,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.5,17.0,5.0,6.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,226.0,Đã bàn giao,103.0,Chung cư,5.0,26.0,Đông Bắc,Căn góc,Shophouse,quận bình tân,tp hồ chí minh,Không thuộc project/block,1,5000.0,8.517393171418904
40.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,17.0,46.0,3.0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,226.0,Đã bàn giao,103.0,Chung cư,5.0,26.0,Đông Bắc,Căn góc,Shophouse,quận thanh khê,đà nẵng,Không thuộc project/block,1,3000.0,8.006700845440367
60.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,6.0,10.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Đã bàn giao,103.0,Chung cư,5.0,26.0,Đông Bắc,Căn góc,Shophouse,quận thủ đức,tp hồ chí minh,Không thuộc project/block,1,950.0,6.85751406254539
102.0,Tây Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,21.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Đã bàn giao,103.0,Chung cư,5.0,26.0,Đông Bắc,Căn góc,Shophouse,thành phố nha trang,khánh hòa,Không thuộc project/block,1,566.0,6.340359303727752
400.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,19.0,21.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Đã bàn giao,103.0,Chung cư,5.0,26.0,Đông Bắc,Căn góc,Shophouse,huyện châu đức,bà rịa - vũng tàu,Không thuộc project/block,1,1300.0,7.170888478512505
61.0,Đông,Đã có sổ,Nở hậu,Đất thổ cư,4.0,15.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,220.0,Chưa bàn giao,57.0,Chung cư,3.0,26.0,Đông Bắc,Căn góc,Shophouse,quận thủ đức,tp hồ chí minh,Không thuộc project/block,1,6600.0,8.79497643168877
